type,entry_price,entry_time,exit_price,exit_time,PnL,duration_min
SELL,177.61,2023-05-30 18:57:00+00:00,179.54,2023-06-01 15:15:00+00:00,-1.9299999999999784,208
SELL,179.28,2023-06-01 15:22:00+00:00,181.56,2023-06-02 13:32:00+00:00,-2.280000000000001,102
SELL,180.7299,2023-06-02 13:36:00+00:00,183.29,2023-06-05 13:37:00+00:00,-2.5601000000000056,142
SELL,183.69,2023-06-05 13:43:00+00:00,179.48,2023-06-06 19:11:00+00:00,4.210000000000008,300
SELL,179.41,2023-06-06 19:14:00+00:00,179.925,2023-06-08 18:44:00+00:00,-0.5150000000000148,300
SELL,179.9282,2023-06-08 18:50:00+00:00,182.06,2023-06-09 13:33:00+00:00,-2.1317999999999984,34
SELL,181.67,2023-06-09 13:41:00+00:00,183.26,2023-06-12 19:31:00+00:00,-1.5900000000000034,300
SELL,183.245,2023-06-12 19:35:00+00:00,183.7195,2023-06-14 17:56:00+00:00,-0.47450000000000614,300
SELL,183.21,2023-06-14 18:00:00+00:00,185.0695,2023-06-15 14:00:00+00:00,-1.859499999999997,62
SELL,185.455,2023-06-15 14:03:00+00:00,185.0269,2023-06-16 18:49:00+00:00,0.4281000000000006,300
SELL,185.0405,2023-06-16 18:54:00+00:00,184.175,2023-06-21 17:11:00+00:00,0.8654999999999973,300
SELL,184.065,2023-06-21 17:14:00+00:00,185.94,2023-06-22 14:37:00+00:00,-1.875,100
SELL,185.8199,2023-06-22 14:40:00+00:00,186.715,2023-06-23 19:53:00+00:00,-0.8951000000000136,300
SELL,186.585,2023-06-23 19:58:00+00:00,188.2,2023-06-27 19:11:00+00:00,-1.6149999999999807,300
SELL,188.2568,2023-06-27 19:17:00+00:00,189.395,2023-06-29 17:33:00+00:00,-1.1382000000000119,300
SELL,189.42,2023-06-29 17:40:00+00:00,191.3201,2023-06-30 13:30:00+00:00,-1.900100000000009,35
SELL,191.855,2023-06-30 13:35:00+00:00,193.9,2023-06-30 19:50:00+00:00,-2.045000000000016,164
